File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/channels/application_cable/channel.rb",0,4,4,0,4
"./app/channels/application_cable/connection.rb",0,4,4,0,4
"./app/jobs/application_job.rb",0,7,2,0,2
"./app/mailers/application_mailer.rb",100,4,3,3,0
"./app/mailers/apply_to_offers_mailer.rb",100,8,4,4,0
"./app/models/acknowledgment.rb",100,7,3,3,0
"./app/models/admin_user.rb",100,6,3,3,0
"./app/models/age_range.rb",100,5,3,3,0
"./app/models/application_record.rb",100,3,2,2,0
"./app/models/applied_offer.rb",100,10,6,6,0
"./app/models/applied_offer_status.rb",100,3,2,2,0
"./app/models/available_work_day.rb",100,6,4,4,0
"./app/models/available_work_days_curriculum_vitaes.rb",100,4,3,3,0
"./app/models/available_work_days_offers.rb",100,4,3,3,0
"./app/models/city.rb",100,3,2,2,0
"./app/models/companies_users.rb",100,4,3,3,0
"./app/models/company.rb",100,25,11,11,0
"./app/models/contract_type.rb",100,3,2,2,0
"./app/models/currency.rb",100,3,2,2,0
"./app/models/curriculum_vitae.rb",100,27,19,19,0
"./app/models/curriculum_vitae_salary.rb",100,7,5,5,0
"./app/models/curriculum_vitaes_educational_degrees.rb",100,4,3,3,0
"./app/models/curriculum_vitaes_languages.rb",100,5,4,4,0
"./app/models/curriculum_vitaes_soft_skills.rb",100,4,3,3,0
"./app/models/curriculum_vitaes_technical_skills.rb",100,6,5,5,0
"./app/models/curriculum_vitaes_vehicles.rb",100,4,3,3,0
"./app/models/curriculum_vitaes_working_days.rb",100,4,3,3,0
"./app/models/document_type.rb",100,3,2,2,0
"./app/models/driving_licence.rb",100,6,4,4,0
"./app/models/driving_licences_offers.rb",100,4,3,3,0
"./app/models/duration_type.rb",100,3,2,2,0
"./app/models/educational_degree.rb",100,8,4,4,0
"./app/models/educational_level.rb",100,9,6,6,0
"./app/models/educational_levels_offers.rb",100,4,3,3,0
"./app/models/employees_range.rb",100,3,2,2,0
"./app/models/function.rb",100,6,3,3,0
"./app/models/functions_offers.rb",100,4,3,3,0
"./app/models/industry.rb",100,3,2,2,0
"./app/models/job_aid.rb",100,5,3,3,0
"./app/models/job_aids_offers.rb",100,4,3,3,0
"./app/models/job_category.rb",100,6,4,4,0
"./app/models/labor_disponibility.rb",100,4,2,2,0
"./app/models/language.rb",100,7,5,5,0
"./app/models/languages_offers.rb",100,12,8,8,0
"./app/models/level.rb",100,5,3,3,0
"./app/models/limitation.rb",100,6,3,3,0
"./app/models/nationality.rb",100,6,3,3,0
"./app/models/offer.rb",100,64,48,48,0
"./app/models/offer_salary.rb",100,13,9,9,0
"./app/models/offer_type.rb",100,5,3,3,0
"./app/models/offers_responsibilities.rb",100,4,3,3,0
"./app/models/offers_soft_skills.rb",100,4,3,3,0
"./app/models/offers_technical_skills.rb",100,5,4,4,0
"./app/models/offers_terms.rb",100,6,4,4,0
"./app/models/offers_vehicles.rb",100,4,3,3,0
"./app/models/offers_work_positions.rb",100,4,3,3,0
"./app/models/offers_working_days.rb",100,4,3,3,0
"./app/models/recommendation.rb",100,8,5,5,0
"./app/models/recommendations_soft_skills.rb",100,4,3,3,0
"./app/models/recommendations_technical_skills.rb",100,4,3,3,0
"./app/models/relationship.rb",100,3,2,2,0
"./app/models/relationship_time.rb",100,3,2,2,0
"./app/models/required_experience.rb",100,6,4,4,0
"./app/models/requirement.rb",100,5,3,3,0
"./app/models/responsibility.rb",100,5,3,3,0
"./app/models/salary_period.rb",100,6,4,4,0
"./app/models/sex.rb",100,5,3,3,0
"./app/models/soft_skill.rb",100,7,5,5,0
"./app/models/state.rb",100,3,2,2,0
"./app/models/technical_skill.rb",100,8,6,6,0
"./app/models/technical_skill_category.rb",100,3,2,2,0
"./app/models/term.rb",100,5,3,3,0
"./app/models/user.rb",100,56,22,22,0
"./app/models/users_limitations.rb",100,8,4,4,0
"./app/models/users_nationalities.rb",100,6,3,3,0
"./app/models/vehicle.rb",100,6,4,4,0
"./app/models/visit.rb",100,3,2,2,0
"./app/models/work_experience.rb",100,13,9,9,0
"./app/models/work_methodology.rb",100,3,2,2,0
"./app/models/work_mode.rb",100,5,3,3,0
"./app/models/work_position.rb",100,5,3,3,0
"./app/models/working_day.rb",100,6,4,4,0
"./app/presenters/application_presenter.rb",100,19,11,11,0
"./app/presenters/companies/first_offer/step_eight_presenter.rb",100,20,8,8,0
"./app/presenters/companies/first_offer/step_five_presenter.rb",100,31,10,10,0
"./app/presenters/companies/first_offer/step_four_presenter.rb",100,31,10,10,0
"./app/presenters/companies/first_offer/step_one_presenter.rb",100,30,10,10,0
"./app/presenters/companies/first_offer/step_six_presenter.rb",100,31,10,10,0
"./app/presenters/companies/first_offer/step_three_presenter.rb",100,21,6,6,0
"./app/presenters/companies/first_offer/step_two_presenter.rb",100,29,10,10,0
"./app/presenters/companies/first_offer/step_zero_presenter.rb",100,7,3,3,0
"./app/presenters/home/home_presenter.rb",100,44,10,10,0
"./app/presenters/offers_presenter.rb",100,25,13,13,0
"./app/presenters/users/wizards/step_eight_presenter.rb",100,43,19,19,0
"./app/presenters/users/wizards/step_eleven_presenter.rb",100,20,8,8,0
"./app/presenters/users/wizards/step_five_presenter.rb",100,29,10,10,0
"./app/presenters/users/wizards/step_four_presenter.rb",100,30,10,10,0
"./app/presenters/users/wizards/step_nine_presenter.rb",100,44,19,19,0
"./app/presenters/users/wizards/step_one_presenter.rb",100,34,10,10,0
"./app/presenters/users/wizards/step_seven_presenter.rb",100,31,12,12,0
"./app/presenters/users/wizards/step_six_presenter.rb",100,29,10,10,0
"./app/presenters/users/wizards/step_ten_presenter.rb",100,42,19,19,0
"./app/presenters/users/wizards/step_three_presenter.rb",100,28,10,10,0
"./app/presenters/users/wizards/step_two_presenter.rb",100,28,10,10,0
"./app/presenters/users/wizards/step_zero_presenter.rb",100,7,3,3,0
"./app/presenters/users_presenter.rb",100,22,8,8,0
"./app/services/base_form_wizards_service.rb",100,136,62,62,0
"./app/services/companies/first_offer/step_eight/form_params_service.rb",100,37,17,17,0
"./app/services/companies/first_offer/step_five/form_params_service.rb",96,69,28,27,1
"./app/services/companies/first_offer/step_five_service.rb",96,54,27,26,1
"./app/services/companies/first_offer/step_four/form_params_service.rb",100,88,22,22,0
"./app/services/companies/first_offer/step_four_service.rb",95,35,19,18,1
"./app/services/companies/first_offer/step_one/form_params_service.rb",100,25,8,8,0
"./app/services/companies/first_offer/step_one_service.rb",100,11,6,6,0
"./app/services/companies/first_offer/step_six/form_params_service.rb",100,27,11,11,0
"./app/services/companies/first_offer/step_six_service.rb",96,39,23,22,1
"./app/services/companies/first_offer/step_three/form_params_service.rb",100,37,15,15,0
"./app/services/companies/first_offer/step_three_service.rb",100,45,25,25,0
"./app/services/companies/first_offer/step_two/form_params_service.rb",100,7,2,2,0
"./app/services/companies/first_offer/step_two_service.rb",100,11,6,6,0
"./app/services/offers/applied_offer_service.rb",100,15,6,6,0
"./app/services/offers/index_service.rb",100,18,7,7,0
"./app/services/offers/show_service.rb",100,70,25,25,0
"./app/services/offers/views_service.rb",100,67,25,25,0
"./app/services/offers_service.rb",100,30,14,14,0
"./app/services/users/wizard_service.rb",100,39,18,18,0
"./app/services/users/wizards/step_eight/form_params_service.rb",100,62,24,24,0
